"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" carne de hambúrguer"," fruta tropical"," vegetais de raiz"," outros vegetais"," iogurte"," chantilly/creme de leite"," Requeijão cremoso"," pãezinhos/pãezinhos"," fermento em pó","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," leite inteiro"," água engarrafada"," limpador abrasivo"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos finalizados"," clínica de cuidado de animais domésticos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," massa"," mostarda"," ketchup"," comida de cão","refrigerante"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," suco de frutas/vegetais"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," leite inteiro"," ovos domésticos"," pãezinhos/pãezinhos"," farinha"," mostarda"," cereais"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," fruta tropical"," leite inteiro"," iogurte"," bebidas"," queijo duro"," Requeijão cremoso"," pão integral"," fermento em pó"," comida de cão"," água engarrafada","refrigerante"," suco de frutas/vegetais"," cerveja em lata"," detergente"," vasos de plantas","","","","","","","","","","","","","","","",""
" carne"," peru"," carne de hambúrguer"," citrino"," fruta pipa"," leite inteiro"," manteiga"," iogurte"," queijo especial"," pãezinhos/pãezinhos"," pão integral"," Produtos alimentares instantâneos"," cerveja engarrafada"," chocolate especial"," jornais","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," iogurte"," Refeições congeladas"," pãezinhos/pãezinhos"," sopas prontas"," água engarrafada","refrigerante"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
" detergente"," amaciante"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" licor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," leite inteiro"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta pipa"," outros vegetais","refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," Margarina"," jornais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," pãezinhos/pãezinhos"," sopas"," café","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," leite inteiro"," queijo duro"," Queijo processado"," ovos domésticos"," pãezinhos/pãezinhos"," pão branco"," Margarina"," açúcar"," waffles","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," carne de hambúrguer"," fruta pipa"," outros vegetais"," leite inteiro"," sobremesa"," Refeições congeladas"," ovos domésticos","refrigerante","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," iogurte"," pãezinhos/pãezinhos"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," vegetais de raiz"," leite inteiro"," legumes em conserva"," café","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de porco"," fruta tropical"," fruta pipa"," outros vegetais"," chantilly/creme de leite"," bebidas"," pão branco","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," queijo fatiado"," água engarrafada"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," bagas"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," vegetais congelados"," mostarda"," fermento em pó","refrigerante"," suco de frutas/vegetais"," licor (aperitivo)"," lanche de nozes"," cozinhar chocolate","","","","","","","","","","","","","","","","","","",""
" frango"," leite inteiro"," queijo macio"," café"," lanche salgado"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," bagas"," outros vegetais"," leite inteiro"," manteiga"," iogurte"," Requeijão cremoso"," pão integral","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," chantilly/creme de leite"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino"," fruta tropical"," vegetais de raiz"," outros vegetais"," leite inteiro"," iogurte"," chantilly/creme de leite"," Queijo processado"," pãezinhos/pãezinhos"," pastelaria"," café"," barra de bolo"," jornais","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," leite inteiro"," pão branco"," pão integral"," açúcar"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," leite inteiro"," Soro de leite coalhado"," Leite UHT"," ovos domésticos"," pãezinhos/pãezinhos"," pão semiacabado"," Margarina"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos"," goma de mascar"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho tinto/blush"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," pão branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," outros vegetais"," Queijo processado"," pãezinhos/pãezinhos"," pão branco"," pão integral"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," vegetais de raiz"," leite inteiro"," ovos domésticos"," álcool isopropílico","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," água engarrafada"," licor"," guardanapos"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," produtos em rolo"," pão semiacabado"," Margarina"," clínica de cuidado de animais domésticos"," café instantâneo","refrigerante"," cerveja engarrafada"," lanche salgado"," Pipoca"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," vegetais de raiz"," leite inteiro"," chantilly/creme de leite"," sorvete"," pão integral"," farinha"," massa"," Margarina"," açúcar"," pudim em pó"," água engarrafada"," chocolate especial"," detergente"," limpador de louça"," artigos de higiene"," filme plástico/sacos"," produtos para manutenção da casa","velas","","","","","","","","","","","","",""
" Frankfurt"," leite inteiro"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," carne bovina"," manteiga"," iogurte"," queijo especial"," ovos domésticos"," água engarrafada"," barra de bolo"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" limpador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," outros vegetais"," iogurte"," Leite UHT"," queijo macio"," ovos domésticos"," pãezinhos/pãezinhos"," limpador de louça","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," cebola"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," iogurte"," queijo macio"," pão integral"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," queijo macio"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite condensado"," pãezinhos/pãezinhos"," açúcar"," comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," produto de panificação longa vida"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," pãezinhos/pãezinhos"," comida de cão","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," presunto"," vegetais de raiz"," outros vegetais"," queijo macio"," queijo fatiado"," mostarda"," vegetais especiais"," cerveja engarrafada"," rum"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," frango"," carne de hambúrguer"," fruta tropical"," ervas"," outros vegetais"," sorvete"," pão branco","refrigerante"," chocolate especial"," limpador de louça"," limpador abrasivo","","","","","","","","","","","","","","","","","","",""
" manteiga"," vegetais congelados"," Margarina"," barra de bolo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," manteiga"," Requeijão cremoso"," legumes em conserva"," suco de frutas/vegetais"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," leite inteiro"," pastelaria","refrigerante"," sabão","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino"," fruta pipa"," leite inteiro"," Soro de leite coalhado","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," outros vegetais"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," manteiga"," queijo fatiado"," Requeijão cremoso"," pãezinhos/pãezinhos"," Margarina","refrigerante"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha","refrigerante"," vinho branco"," goma de mascar"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pão integral"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," cebola"," outros vegetais"," chantilly/creme de leite"," ovos domésticos"," pastelaria"," farinha"," clínica de cuidado de animais domésticos"," suco de frutas/vegetais"," cerveja em lata"," jornais","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," manteiga"," coalhada"," chantilly/creme de leite"," queijo duro"," farinha"," molhos"," diversos. bebidas"," suco de frutas/vegetais"," lanche salgado","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," vegetais de raiz"," outros vegetais"," leite inteiro"," ovos domésticos"," arroz"," açúcar"," suco de frutas/vegetais"," cerveja engarrafada"," limpador abrasivo"," sabão"," jornais","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," vegetais de raiz"," ervas"," leite inteiro"," coalhada"," iogurte"," peixe enlatado"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," água engarrafada"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," vegetais de raiz"," leite inteiro"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," vegetais de raiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," leite inteiro"," bebidas"," pãezinhos/pãezinhos"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," água engarrafada"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," coalhada"," ovos domésticos"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino"," cebola"," outros vegetais"," leite inteiro"," queijo fatiado"," Requeijão cremoso"," sal"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," fruta tropical"," bebidas"," pão branco"," pastelaria"," waffles"," chocolate especial"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," vegetais de raiz"," cebola"," leite inteiro"," ovos domésticos"," pãezinhos/pãezinhos"," pão integral"," pastelaria"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," leite inteiro"," coalhada"," ovos domésticos"," pão integral"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," outros vegetais","refrigerante"," cerveja engarrafada"," licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," pão integral"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais enlatados"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," produtos de batata congelados"," óleo"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," Leite UHT"," pão branco"," pão integral"," Margarina"," amaciante"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," clínica de cuidado de animais domésticos","refrigerante"," cerveja em lata"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," iogurte"," pão branco","refrigerante"," suco de frutas/vegetais"," doce"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de hambúrguer"," vegetais de raiz"," outros vegetais"," leite inteiro"," coalhada"," queijo fatiado"," Queijo processado"," Refeições congeladas"," sorvete"," ovos domésticos"," água engarrafada"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," leite inteiro"," queijo duro"," ovos domésticos"," zwieback"," arroz"," mostarda"," produtos orgânicos"," legumes em conserva"," comida de gato"," café"," suco de frutas/vegetais"," limpador"," guardanapos"," sacolas de compras","","","","","","","","","","","","","","","","",""
" frango"," bagas"," vegetais de raiz"," ervas"," outros vegetais"," leite inteiro"," coalhada"," sorvete"," ovos domésticos"," Margarina"," sopas"," jornais","","","","","","","","","","","","","","","","","","","",""
" carne"," leite inteiro"," ovos domésticos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," carne de hambúrguer"," fruta tropical"," outros vegetais"," pastelaria","refrigerante"," lanche salgado"," lanche de nozes"," detergente","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," carne bovina"," citrino"," fruta tropical"," vegetais de raiz"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," ovos domésticos"," pãezinhos/pãezinhos"," pastelaria"," mostarda"," legumes em conserva","refrigerante"," produto de panificação longa vida"," chocolate"," chocolate especial"," barra de especialidades"," marshmallow de chocolate"," doce"," guardanapos"," utensílios de cozinha"," jornais","","","","","","","","",""
" frango"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," outros vegetais"," iogurte"," chantilly/creme de leite"," queijo macio"," Queijo processado"," pastelaria"," produtos em rolo"," farinha"," comida de gato","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" comida de gato"," cerveja em lata"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," frutas/legumes embalados"," leite inteiro"," pão branco","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pratos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," vasos de plantas"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," vegetais de raiz"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," gordura especial"," waffles"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta tropical"," uvas"," vegetais de raiz"," outros vegetais"," leite inteiro"," manteiga"," iogurte"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produto de panificação longa vida"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta tropical"," vegetais de raiz"," outros vegetais"," coalhada"," pãezinhos/pãezinhos"," chá"," água engarrafada"," artigos de higiene"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de porco"," carne bovina"," fruta tropical"," vegetais de raiz"," outros vegetais"," manteiga"," pãezinhos/pãezinhos"," pastelaria"," café"," suco de frutas/vegetais"," chocolate"," artigos de higiene"," jornais","","","","","","","","","","","","","","","","","",""
" fruta tropical"," cebola"," leite inteiro"," chantilly/creme de leite"," Margarina","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," leite inteiro"," coalhada"," sobremesa"," Soro de leite coalhado"," iogurte"," molhos"," água engarrafada"," xarope"," chocolate especial"," limpador","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," peru"," fruta tropical"," vegetais de raiz"," pão branco"," vegetais enlatados","refrigerante","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta pipa"," vegetais de raiz"," ervas"," leite inteiro"," Queijo processado"," maionese","refrigerante"," rum","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," Margarina"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," citrino"," fruta pipa"," vegetais de raiz"," outros vegetais"," leite inteiro"," manteiga"," coalhada"," iogurte"," chantilly/creme de leite"," Requeijão cremoso"," vegetais congelados"," Refeições congeladas"," Produtos alimentares instantâneos"," `"," suco de frutas/vegetais"," lanche salgado"," barra de especialidades","","","","","","","","","","","","","",""
" frango"," carne de hambúrguer"," fruta tropical"," fruta pipa"," vegetais de raiz"," outros vegetais"," pãezinhos/pãezinhos"," sal"," vegetais enlatados"," café","refrigerante"," cerveja em lata","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," coalhada"," chantilly/creme de leite"," ovos domésticos"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," manteiga"," iogurte"," Refeições congeladas"," pãezinhos/pãezinhos"," zwieback"," Margarina"," legumes em conserva"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" zwieback"," lanche salgado"," Pipoca"," waffles"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," cerveja engarrafada"," lanche salgado"," detergente"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," produtos em rolo"," comida de gato"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," manteiga","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," cebola"," iogurte"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," cebola"," outros vegetais"," vinagre"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," barrar queijo"," mostarda"," água engarrafada"," limpador"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de hambúrguer"," fruta pipa"," outros vegetais"," Soro de leite coalhado"," iogurte"," queijo fatiado"," café"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," leite inteiro"," lanche salgado"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," frutas/legumes embalados"," cerveja engarrafada"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," outros vegetais"," leite inteiro"," iogurte"," água engarrafada"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," Soro de leite coalhado"," peixe congelado"," óleo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro"," ovos domésticos"," pão branco"," farinha"," gordura especial"," fermento em pó"," água engarrafada"," suco de frutas/vegetais"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," outros vegetais"," leite inteiro"," coalhada"," foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," outros vegetais"," leite inteiro"," coalhada"," iogurte"," pão integral"," arroz"," Margarina"," cerveja em lata"," barra de bolo"," limpador de louça"," artigos de higiene"," guardanapos"," produtos para manutenção da casa","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," coalhada"," Requeijão cremoso"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," Margarina"," chá"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," água engarrafada","refrigerante"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," citrino"," fruta tropical"," vegetais de raiz"," ervas"," outros vegetais"," leite inteiro"," coalhada"," queijo duro"," Requeijão cremoso"," ovos domésticos"," pão integral"," óleo"," Fruta enlatada"," água engarrafada"," diversos. bebidas"," suco de frutas/vegetais","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," Requeijão cremoso"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," manteiga"," pãezinhos/pãezinhos"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," pastelaria"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ervas"," leite inteiro"," Soro de leite coalhado"," iogurte"," Requeijão cremoso"," vegetais congelados"," peixe congelado"," pãezinhos/pãezinhos"," sal"," Margarina"," jornais","","","","","","","","","","","","","","","","","","","","",""
" bagas"," iogurte"," ovos domésticos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete"," cereais"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," sorvete"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne de hambúrguer"," ervas"," outros vegetais"," leite inteiro"," iogurte"," ovos domésticos"," pãezinhos/pãezinhos"," lâmpadas","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada"," licor"," licor (aperitivo)"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino"," iogurte"," pastelaria"," café instantâneo","refrigerante"," guardanapos"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," iogurte"," vegetais congelados"," Margarina"," legumes em conserva"," comida de gato"," detergente"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","",""
" uvas"," bagas"," manteiga"," vegetais congelados"," água engarrafada","refrigerante"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina","refrigerante"," detergente"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" óleo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," chantilly/creme de leite"," pãezinhos/pãezinhos"," pastelaria"," pastas doces"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," carne bovina"," bagas"," outros vegetais"," leite inteiro"," iogurte"," ovos domésticos"," pastelaria","refrigerante"," cerveja engarrafada"," vinho tinto/blush"," Sementes de flores)","","","","","","","","","","","","","","","","","","",""
" queijo duro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada"," sobremesa"," produtos em rolo"," chá"," bebidas de cacau"," cerveja engarrafada"," cerveja em lata"," cozinhar chocolate"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos"," pastelaria","refrigerante"," produtos sazonais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," cerveja engarrafada"," vinho tinto/blush"," prosecco"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" queijo fatiado"," queijo duro"," café","refrigerante"," cerveja engarrafada"," goma de mascar"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," queijo macio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," citrino"," fruta tropical"," fruta pipa"," vegetais de raiz"," ervas"," outros vegetais"," leite inteiro"," iogurte"," chantilly/creme de leite"," Queijo processado"," ovos domésticos"," pão branco"," café"," cerveja engarrafada","","","","","","","","","","","","","","","",""
" salsicha"," peru"," fruta tropical"," uvas"," outros vegetais"," leite inteiro"," coalhada"," iogurte"," pão semiacabado"," especiarias"," fermento em pó"," comida de gato"," água engarrafada"," produto de panificação longa vida"," chocolate","","","","","","","","","","","","","","","","",""
" citrino"," fruta pipa"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne"," pão branco"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos finalizados"," sobremesa"," pastelaria"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" limpador abrasivo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
